"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_05466",45,43,35,72,23,57,37,34,67,26,141,59,20,11,18,18,10,23,15,4,13,9
"Bger_05465",1,0,0,1,0,0,4,2,1,1,11,4,6,16,35,52,12,42,22,21,47,43
"Bger_05464",728,964,479,1295,96,628,131,235,122,59,176,97,82,57,53,71,37,82,55,66,68,60
"Bger_05469",1,0,0,0,0,0,7,2,1,5,6,5,2,0,3,4,0,1,0,1,1,0
"Bger_05468",30,30,9,44,1,17,55,21,44,16,81,30,12,8,23,11,7,14,9,13,6,4
"Bger_05470",13,5,0,0,1,3,40,35,37,63,107,68,24,21,56,29,16,15,17,28,5,6
"Bger_05467",40,33,22,42,119,128,447,382,205,60,49,43,46,49,36,51,18,50,29,28,59,42
"Bger_05472",304,334,170,403,47,192,83,83,37,13,40,40,11,12,23,22,13,26,16,24,23,11
"Bger_05474",0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0
"Bger_05476",222,110,4,5,0,3,1,1,15,28,96,58,622,293,25,51,23,48,28,30,29,20
"Bger_05473",41,23,16,41,6,23,17,6,11,3,19,14,24,47,21,60,16,81,23,41,86,44
"Bger_05471",2,4,0,1,1,5,5,13,2,9,21,11,4,10,6,5,6,3,9,4,5,4
"Bger_05475",1,1,0,7,0,0,0,2,7,3,41,26,24,10,2,7,2,2,1,2,1,2
"Bger_05478",502,862,212,730,79,490,22,122,14,12,119,89,84,71,50,61,40,64,55,42,43,30
"Bger_05480",408,768,184,1117,97,807,152,395,66,79,119,156,74,51,60,57,49,73,67,62,60,63
"Bger_05479",217,276,59,312,41,113,140,158,68,35,116,124,49,39,32,35,26,45,30,35,37,30
"Bger_05477",470,943,169,601,70,390,142,278,305,258,378,257,340,268,275,334,179,434,234,219,440,373
"Bger_05481",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05483",6,4,4,4,0,4,1,0,0,1,12,6,13,14,7,4,2,16,3,9,11,7
"Bger_05482",2,1,0,1,0,0,4,2,0,0,5,4,5,2,0,4,1,5,0,1,3,2
"Bger_05493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05484",244,562,105,453,84,313,325,656,143,174,307,275,205,112,193,146,118,162,180,136,173,140
"Bger_05490",560,559,331,508,60,200,133,144,146,85,327,259,106,101,91,118,52,123,107,83,87,48
"Bger_05485",76,181,20,155,25,109,69,258,36,59,61,80,58,37,61,42,30,32,39,25,51,36
"Bger_05488",186,393,122,382,18,118,0,42,2,1,16,16,9,10,3,9,5,11,13,12,13,13
"Bger_05489",170,262,102,265,19,82,1,18,2,4,14,11,6,5,2,6,1,8,9,8,9,9
"Bger_05487",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Bger_05491",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Bger_05486",14,5,4,8,9,10,70,30,46,13,42,14,15,18,9,16,4,11,8,3,11,5
"Bger_05492",6,1,0,3,1,2,17,13,13,6,6,4,3,5,0,4,2,1,2,1,1,4
"Bger_19808",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_19809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19804",84,143,47,178,9,60,21,35,21,14,53,29,14,10,8,6,6,6,8,11,9,8
"Bger_19811",4,10,1,4,3,3,3,8,1,2,2,2,311,307,228,483,163,423,101,72,68,34
"Bger_19810",1,2,0,1,0,1,0,3,3,0,3,5,6,2,54,104,77,195,115,145,100,46
"Bger_19812",67,31,0,7,0,1,8,11,12,339,6,3,2,2,132,218,7,23,56,36,79,58
"Bger_19806",1,0,0,0,1,1,5,5,1,1,2,0,0,0,0,0,0,1,0,0,1,0
"Bger_19807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19805",79,25,26,33,86,64,287,206,33,17,36,26,29,26,7,15,11,17,6,8,4,7
"Bger_11135",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Bger_11134",543,603,300,1184,99,709,99,172,222,149,213,167,105,79,107,117,62,134,92,91,100,82
"Bger_11145",678,457,936,1796,441,1669,191,299,68,16,128,55,26,8,18,26,20,30,18,19,24,14
"Bger_11143",208,290,150,448,31,170,34,88,7,3,11,21,3,1,6,11,6,10,19,11,8,2
"Bger_11136",506,708,223,618,70,341,20,57,27,27,96,40,33,16,53,37,19,45,43,29,27,34
"Bger_11141",313,361,244,524,90,427,54,105,60,27,85,89,68,31,42,32,22,34,42,40,48,35
"Bger_11140",620,317,233,408,62,199,283,160,691,231,389,150,110,86,184,203,75,193,164,129,103,73
"Bger_11142",1937,2257,1169,2811,431,1739,479,791,132,98,139,134,68,51,76,67,63,101,79,56,82,67
"Bger_11139",56,241,22,238,73,427,245,911,76,151,124,216,101,76,93,49,38,34,49,58,51,41
"Bger_11137",163,362,83,407,319,839,685,1878,150,193,180,367,188,154,99,66,47,84,87,95,81,78
"Bger_11147",2,2,1,3,0,0,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0
"Bger_11146",614,889,385,1104,119,552,295,599,96,56,113,113,66,50,28,55,13,37,22,27,59,32
"Bger_11138",135,285,87,340,247,710,416,1276,123,203,180,367,188,121,109,85,49,65,85,106,92,68
"Bger_11148",32,61,33,67,16,74,65,92,44,27,61,42,24,25,7,25,5,22,6,21,15,15
"Bger_11144",1,4,1,1,1,1,13,4,8,2,14,11,0,0,4,5,0,4,0,0,1,1
"Bger_11150",5,0,0,2,2,2,15,13,5,1,10,5,4,0,1,2,3,3,0,2,0,2
"Bger_11149",714,855,491,1223,80,350,317,435,239,234,556,476,235,154,621,461,270,368,498,466,167,198
"Bger_11151",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Bger_05862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05861",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Bger_05863",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05865",16,12,3,13,2,14,9,15,29,17,98,63,19,14,12,20,3,19,16,18,21,11
"Bger_05869",2,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0
"Bger_05864",10,19,2,10,0,1,0,1,1,27,6,8,58,73,70,110,50,78,83,36,31,28
"Bger_05866",72,108,9,125,4,37,20,39,91,65,134,72,30,30,51,61,29,47,33,46,55,42
"Bger_05876",2,0,0,3,3,0,9,15,14,3,11,4,11,5,1,8,6,7,1,0,4,0
"Bger_05878",0,0,0,1,2,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1
"Bger_05879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05873",0,1,1,1,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"Bger_05872",21,23,5,29,1,7,9,12,17,8,9,11,7,2,4,8,3,2,3,3,7,5
"Bger_05877",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0
"Bger_05874",272,153,84,236,44,91,143,94,167,43,276,141,69,54,62,60,18,49,15,28,25,24
"Bger_05868",368,268,299,539,52,136,33,67,30,8,66,22,25,10,29,28,12,22,11,12,25,24
"Bger_05870",32,12,26,27,14,6,21,8,4,2,2,1,1,2,4,0,0,2,1,1,2,2
"Bger_05867",5,1,2,1,0,1,3,2,2,1,6,7,4,5,2,6,0,1,3,0,2,3
"Bger_05875",752,733,589,1296,312,1047,189,236,20,17,19,9,9,10,6,9,6,11,9,13,15,5
"Bger_05871",66,35,39,92,9,27,48,37,15,1,18,6,10,4,3,3,5,9,7,6,7,6
"Bger_05883",141,100,171,250,37,94,43,82,17,9,36,19,7,8,3,12,4,9,6,10,5,6
"Bger_05885",712,808,247,923,87,552,15,99,10,13,26,14,11,2,7,4,2,15,11,15,16,14
"Bger_05888",702,504,702,1035,130,414,160,205,206,67,218,119,55,36,62,60,36,88,48,52,91,70
"Bger_05890",173,252,89,290,52,195,116,195,81,53,173,117,45,36,70,82,53,48,68,38,41,19
"Bger_05889",118,78,124,233,22,77,33,45,50,9,31,8,13,10,14,8,5,14,4,14,19,8
"Bger_05898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_05897",61,31,29,60,7,23,4,11,4,2,9,1,2,0,1,5,2,5,0,2,3,0
"Bger_05881",137,85,44,228,27,106,0,15,4,0,0,0,0,0,1,1,0,5,3,2,1,1
"Bger_05884",2546,1069,1423,3008,922,2757,2895,1398,7228,1092,3372,1666,1239,1266,978,1763,397,1777,699,672,1080,826
"Bger_05882",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Bger_05880",3,3,1,6,0,2,0,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0
"Bger_05887",238,310,114,308,49,145,129,135,41,21,96,36,29,18,21,25,9,15,17,17,21,14
"Bger_05886",29,7,0,0,9,2,128,57,98,16,116,38,26,18,9,28,10,24,11,9,8,4
"Bger_05893",11,0,0,3,2,2,13,9,8,6,33,8,6,2,13,13,5,5,8,9,1,3
"Bger_05892",13,1,0,3,6,3,29,12,16,8,70,18,6,1,11,12,4,12,12,13,3,3
"Bger_05891",3,1,0,2,4,4,19,7,13,8,24,13,7,4,7,4,5,3,8,0,0,1
"Bger_05894",32,3,0,3,12,12,69,22,66,19,125,41,26,9,34,34,13,25,16,17,7,3
"Bger_05899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_28477",10,1,0,3,0,2,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_28061",11,25,8,14,1,2,1,1,4,1,1,0,0,0,0,1,1,1,0,0,5,0
"Bger_21489",769,749,345,1138,209,850,443,413,245,103,222,171,79,58,52,95,31,93,43,60,56,48
"Bger_21497",1613,787,759,982,548,1358,1459,721,1722,356,1211,431,301,227,360,470,211,463,292,242,282,209
"Bger_21488",290,542,125,502,26,170,39,105,16,7,29,26,12,5,10,10,9,21,13,19,17,12
"Bger_21492",294,345,221,537,73,150,113,103,39,19,54,36,7,11,16,4,1,15,9,11,9,4
"Bger_21496",1,0,0,0,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"Bger_21494",202,192,94,146,49,156,111,107,104,57,106,56,44,39,36,40,17,66,39,39,45,47
"Bger_21495",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_21491",201,383,133,632,108,578,154,300,67,76,63,111,69,44,38,52,29,47,38,40,36,33
"Bger_21490",346,438,141,563,55,309,108,158,46,38,79,72,33,22,27,40,17,37,22,27,27,17
"Bger_21493",6,0,1,1,0,0,10,1,22,3,48,33,6,4,4,4,2,10,4,1,2,2
"Bger_27939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_27938",5,8,1,6,3,1,0,0,0,0,0,1,1,3,2,0,0,0,2,2,0,0
"Bger_20211",138,192,63,259,22,110,62,66,52,39,131,75,31,18,36,46,16,37,22,26,23,9
"Bger_20212",23,81,20,82,1,30,0,7,2,9,22,25,15,10,11,14,6,7,5,2,4,4
"Bger_20210",212,365,102,441,24,173,79,96,135,67,488,276,156,109,100,162,33,71,50,43,37,29
"Bger_20216",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20213",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_20221",7,5,0,10,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"Bger_20222",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Bger_20223",0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,2,0,0,0,0
"Bger_20219",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bger_20224",0,0,0,0,0,0,0,0,2,4,20,27,7,6,10,9,6,3,4,0,2,0
"Bger_26344",0,0,0,0,2,1,4,6,4,2,2,3,0,1,1,0,0,0,1,0,1,0
"Bger_26342",1,0,0,0,0,1,0,4,0,1,7,11,2,1,1,2,0,0,0,1,1,1
"Bger_26341",0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1,1,2,0,0,0,4
"Bger_26343",0,0,0,0,2,0,0,2,1,1,1,2,0,1,1,0,0,0,0,0,2,0
"Bger_17649",20,15,10,10,8,50,214,121,141,52,82,95,14,5,43,87,15,48,19,53,19,8
"Bger_17650",50,62,52,81,8,32,8,18,38,16,136,118,89,59,72,64,13,78,49,34,56,38
"Bger_17657",13,8,8,12,0,6,6,5,4,1,4,0,3,1,0,3,1,1,0,2,2,0
"Bger_17654",1,4,0,5,0,1,0,5,0,1,1,0,3,1,0,1,0,3,2,0,0,0
"Bger_17658",3,6,3,10,2,4,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1
"Bger_17655",16,13,7,8,7,18,27,35,29,10,27,18,97,71,26,28,17,38,14,17,39,16
"Bger_17653",20,1,0,2,4,12,20,33,14,17,38,21,31,24,5,5,5,15,23,4,19,11
"Bger_17651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_17656",4,0,8,4,0,1,2,2,0,1,2,0,4,0,0,0,0,1,2,1,0,0
"Bger_17652",0,0,0,0,2,0,1,1,3,1,1,0,1,0,0,3,0,0,0,0,0,0
"Bger_09516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09518",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Bger_09519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09520",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Bger_09521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09523",67,80,53,109,12,32,16,17,30,12,160,74,44,19,22,39,11,37,17,15,16,15
"Bger_09524",3,4,3,6,0,1,2,0,2,3,15,2,2,0,4,7,2,1,0,1,2,2
"Bger_09525",3,1,0,0,0,0,1,2,2,2,17,12,3,1,6,5,2,6,2,5,1,3
"Bger_09526",519,539,368,795,160,529,510,383,481,255,907,401,40,32,112,86,63,62,117,80,32,30
"Bger_09528",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Bger_09529",23,29,4,7,1,3,9,1,173,109,119,81,71,35,222,454,32,123,108,107,35,25
"Bger_09532",3903,4850,497,1719,39,276,1,74,1,2,2,1,0,0,48,62,83,224,94,150,163,124
"Bger_09533",189,296,147,290,18,78,0,20,0,3,0,0,0,0,2,0,4,5,5,3,5,7
"Bger_09531",169,137,63,140,5,30,0,8,0,0,0,0,0,0,0,2,3,2,2,4,4,2
"Bger_09536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Bger_09539",5,0,0,0,0,1,3,2,2,1,1,1,1,1,0,0,0,1,0,0,0,0
"Bger_09541",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_09534",398,370,223,323,22,88,19,38,48,18,126,66,17,12,34,39,11,38,21,34,21,10
"Bger_09542",88,209,35,237,18,127,28,115,25,15,41,42,15,15,10,21,10,18,19,18,14,7
"Bger_09535",461,589,375,918,76,262,135,214,48,56,123,105,90,58,70,93,49,86,59,40,303,233
"Bger_09527",0,0,0,0,0,1,0,1,1,0,100,42,38,30,23,35,51,33,84,19,3,3
"Bger_09543",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"Bger_09538",97,79,92,102,18,65,82,80,32,13,49,28,16,5,7,12,5,6,8,12,2,4
"Bger_09540",176,400,110,353,45,221,73,154,29,39,96,56,29,29,36,42,29,37,51,30,29,31
"Bger_09530",1,0,0,0,0,0,0,0,3,6,4,3,1,1,22,26,1,9,3,4,4,0
"Bger_09537",85,81,79,169,9,38,20,45,7,18,18,12,13,1,5,7,2,9,9,4,27,24
"Bger_09544",2161,931,40,156,22,168,155,202,1154,1352,28085,27341,70071,65837,65960,68462,72518,44582,99194,24356,18333,21052
"Bger_09547",51,27,1,1,11,3,52,25,46,14,86,49,31,17,21,14,17,13,33,22,18,27
"Bger_09546",853,665,756,1183,186,607,158,276,61,25,87,48,55,33,39,44,25,56,53,30,41,31
"Bger_09545",29,37,19,38,4,16,5,4,2,3,7,10,9,11,7,15,16,21,40,15,4,2
"Bger_27934",16,49,2,23,1,12,2,13,2,4,1,4,0,4,1,2,1,8,2,2,21,11
"Bger_19168",288,532,121,331,45,175,120,173,81,126,194,181,85,67,50,37,20,34,30,15,14,15
"Bger_19167",63,47,37,66,16,22,90,43,77,44,95,49,39,23,7,13,0,5,5,6,1,2
"Bger_19169",0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19170",71,162,54,152,19,77,16,47,3,34,19,38,7,7,5,4,6,5,4,3,3,10
"Bger_19171",85,157,47,203,6,70,1,11,1,4,18,14,142,81,66,100,43,41,67,34,7,9
"Bger_19174",0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,1,0,1,0,1,4
"Bger_19172",106,175,25,268,3,98,0,28,0,0,1,0,24,19,5,1,1,4,1,1,6,4
"Bger_19177",0,0,1,0,0,0,5,8,30,11,3,9,3,0,0,0,0,0,0,1,0,0
"Bger_19176",1,2,0,1,0,0,3,2,1,9,20,2,60,43,22,43,14,43,13,8,2,4
"Bger_19173",1,2,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0
"Bger_19175",1,0,0,1,0,0,2,0,0,2,4,0,17,17,8,9,2,15,4,2,0,0
"Bger_19180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_19181",3,5,1,1,0,2,3,6,28,11,30,62,45,32,30,31,10,17,11,11,61,34
"Bger_19178",69,78,54,93,8,68,15,15,5,8,46,18,11,8,20,12,13,10,19,9,9,8
"Bger_19179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_26167",251,103,140,170,47,85,43,49,37,12,43,18,24,13,11,7,2,20,4,6,8,9
"Bger_26169",0,9,0,18,0,3,0,3,5,1,14,9,4,3,4,2,3,3,1,1,3,1
"Bger_26168",38,25,14,61,7,11,46,31,47,11,79,37,23,19,19,8,4,6,7,6,12,4
"Bger_07768",461,347,224,525,56,204,86,104,125,44,130,56,44,42,32,59,16,45,31,30,25,17
"Bger_07770",102,113,47,157,23,169,6,35,7,1,31,9,5,7,5,9,9,9,12,5,14,5
"Bger_07766",0,2,0,1,1,3,2,3,4,279,7,14,3,0,1117,1163,74,279,273,440,2,0
"Bger_07761",199,263,76,443,23,117,39,81,43,714,199,233,82,49,1957,1468,168,392,509,722,184,131
"Bger_07765",2,3,0,2,1,3,1,9,19,722,30,148,6,4,1935,1406,140,323,472,708,3,2
"Bger_07771",20,48,12,33,1,9,0,12,1,0,7,8,0,2,0,1,0,3,0,0,1,4
"Bger_07764",4,2,1,4,1,1,0,5,0,14,7,19,4,3,32,40,6,6,13,12,1,1
"Bger_07769",2929,1991,1351,2451,330,1179,255,349,264,93,312,147,83,72,126,186,65,137,94,114,88,55
"Bger_07762",9,8,1,3,3,9,11,13,10,8,29,12,5,5,2,3,3,3,3,6,4,2
"Bger_07767",571,447,386,666,180,511,306,305,226,125,204,262,42,39,48,66,25,76,46,62,32,31
"Bger_07763",4,1,0,5,1,2,2,2,4,2,9,3,0,1,5,3,0,0,1,3,2,2
"Bger_07773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_07774",45,6,9,7,22,11,28,8,23,3,10,9,6,9,2,3,4,4,1,3,5,1
"Bger_07772",6,1,1,1,2,5,15,8,3,0,2,3,1,0,5,2,0,3,6,4,1,1
"Bger_07775",0,0,0,0,0,0,4,9,7,15,25,35,33,24,24,21,11,11,17,28,22,16
"Bger_07780",532,545,319,989,219,706,271,303,189,104,704,462,350,312,251,354,155,337,263,145,294,213
"Bger_07782",189,71,78,143,24,62,10,20,44,17,72,24,29,33,19,27,10,33,10,13,33,7
"Bger_07777",38,21,17,23,22,30,97,84,36,14,23,31,9,13,9,13,5,12,7,5,10,12
"Bger_07776",18,10,16,16,20,22,108,64,33,17,36,25,13,10,9,18,3,7,10,9,7,5
"Bger_07781",124,106,38,375,68,290,70,120,62,44,247,174,50,57,41,71,12,58,55,30,44,34
"Bger_07784",4259,4644,981,4043,330,1510,1224,1475,1497,891,1278,857,921,790,419,433,223,443,394,351,410,299
"Bger_07779",391,464,244,724,191,517,622,669,276,179,387,390,267,205,167,251,100,218,171,121,174,119
"Bger_07778",185,159,90,323,71,207,235,328,126,67,177,162,78,59,45,83,20,67,39,39,71,34
"Bger_07785",8,4,0,1,2,5,7,4,1,0,13,3,2,0,2,1,0,2,1,0,0,0
"Bger_07787",4,0,0,2,0,3,2,2,13,22,9,7,12,4,79,54,12,12,28,24,1,1
"Bger_07786",58,40,30,50,7,28,160,15,248,539,292,352,549,377,2216,2472,416,978,808,749,31,28
"Bger_07783",136,59,0,0,3,8,13,5,50,66,59,49,57,43,19,8,7,17,9,8,10,12
"Bger_26968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_26971",1,0,0,0,0,0,2,1,2,0,2,0,0,0,0,0,0,3,0,0,1,0
"Bger_26969",4869,3556,1536,5553,498,2618,22,415,12,7,29,9,4,4,12,11,32,91,54,60,83,51
"Bger_26970",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_16550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_16549",3,7,1,6,1,2,4,11,5,2,18,7,6,1,3,5,2,2,3,3,3,1
"Bger_16551",0,1,0,2,0,0,1,0,0,1,14,4,3,2,0,2,2,2,0,1,0,0
"Bger_16554",3,1,0,1,3,1,21,6,11,3,21,14,0,2,3,6,1,5,2,1,0,1
"Bger_16553",1,0,0,0,0,2,1,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0
"Bger_16552",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_16558",2,3,0,3,1,2,8,5,2,1,9,2,0,1,1,6,1,0,2,3,1,0
"Bger_16555",75,30,42,56,17,25,3,8,8,16,21,5,24,14,41,61,41,74,61,23,1,1
"Bger_16556",21,11,23,10,6,12,5,6,6,11,17,11,20,5,38,47,46,46,38,22,3,2
"Bger_16557",27,16,28,28,8,14,6,11,8,10,7,6,14,11,40,75,35,39,50,15,1,2
"Bger_16559",141,172,10,42,1,8,40,21,25,38,55,44,136,60,56,55,20,36,29,25,24,26
"Bger_16560",0,0,0,0,0,0,3,0,0,0,6,1,3,2,2,3,1,2,10,0,1,0
"Bger_16561",5,1,0,2,2,3,4,8,2,1,13,7,7,7,6,5,3,3,4,3,5,2
"Bger_16562",266,316,168,296,47,322,5,57,0,0,2,0,1,3,0,2,27,9,6,1,7,12
"Bger_16568",17,21,2,16,0,3,1,1,0,2,137,112,64,36,29,40,22,34,20,14,13,12
"Bger_16567",86,90,16,62,8,26,3,11,8,3,388,217,105,96,73,90,41,72,55,24,20,31
"Bger_16566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_16564",85,42,27,46,22,30,11,15,4,1,95,63,27,22,17,22,10,19,23,6,7,10
"Bger_16565",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_16563",200,249,80,268,36,250,63,112,21,4,103,53,24,26,16,23,24,33,27,9,19,23
"Bger_27181",0,0,0,0,2,3,21,13,3,0,6,2,0,1,0,0,0,0,0,0,0,0
"Bger_27182",12,4,5,7,15,16,35,27,9,3,0,5,0,3,0,2,0,1,0,0,0,0
"Bger_27180",6,6,0,1,25,26,151,141,28,21,42,25,7,6,9,9,9,13,6,1,2,7
"Bger_28111",0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Bger_21354",17,57,10,42,4,21,1,3,34,77,28,42,23,14,10,11,8,6,2,5,3,4
"Bger_21353",32,32,15,29,8,14,5,4,65,35,48,24,11,4,8,7,1,6,3,6,2,4
"Bger_21352",48,25,22,32,1,7,3,4,138,22,53,12,6,5,4,6,0,6,1,2,0,0
"Bger_21351",38,14,21,25,1,13,6,3,680,121,249,130,51,39,20,34,8,27,13,6,11,7
"Bger_21357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_21356",9,19,5,17,0,9,0,3,8,34,9,22,3,1,4,5,1,1,1,4,1,0
"Bger_21355",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Bger_21362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_21361",0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
"Bger_21360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_21359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_21358",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_21363",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Bger_23962",19,17,5,20,2,4,0,0,0,0,1,0,3,3,0,0,0,3,0,0,5,2
"Bger_23967",6,8,4,29,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_23968",41,47,66,72,9,71,4,4,0,0,0,0,0,1,0,0,0,0,1,2,0,0
"Bger_23964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_23963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_23965",0,3,3,3,0,0,1,0,1,2,0,1,6,6,0,1,0,0,0,0,0,0
"Bger_23969",2,4,0,0,0,3,4,5,2,8,18,8,2,0,2,3,0,3,1,0,0,5
"Bger_23966",13,17,11,37,1,39,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Bger_05717",172,90,60,253,52,140,211,190,278,115,256,193,109,101,88,139,43,142,61,75,94,76
