"","NFE","NFE_2","ED0","ED0_2","ED1","ED1_2","ED2","ED2_2","ED6","ED6_2","ED13","ED13_2","N1","N1_2","N3","N3_2","N5","N5_2","N6","N6_2","Adult","Adult_2"
"Bger_26315",5,16,1,11,3,5,11,10,2,4,6,4,6,1,1,2,0,1,2,3,0,3
"Bger_26314",93,74,3,17,28,91,118,156,164,87,291,259,56,33,30,34,13,55,27,70,37,36
"Bger_27518",691,639,348,735,151,652,344,285,321,136,480,354,165,137,86,158,39,187,101,88,182,107
"Bger_15837",75,139,26,202,16,104,4,25,3,11,1,0,0,1,13,1,2,4,3,1,3,4
"Bger_15848",333,164,241,300,57,192,65,49,79,14,37,18,90,88,50,84,29,242,38,37,273,214
"Bger_15843",235,416,29,287,25,158,211,367,316,232,613,534,344,364,237,291,140,283,257,181,340,246
"Bger_15841",24,50,8,54,5,23,4,14,6,3,7,9,5,3,5,4,2,2,1,3,3,1
"Bger_15836",62,109,17,145,7,77,3,21,2,6,0,0,0,1,1,0,2,3,3,1,3,3
"Bger_15844",3712,1554,970,1313,328,589,2182,1115,2976,1264,7005,3360,2240,1554,1545,2170,750,1761,1329,1145,914,787
"Bger_15842",908,609,600,1102,618,1636,707,651,615,279,584,339,380,281,240,298,108,299,167,164,260,198
"Bger_15846",86,151,13,101,9,35,28,59,60,20,79,71,27,24,33,27,18,23,25,29,40,22
"Bger_15847",161,94,121,162,71,121,189,131,132,45,113,58,30,27,23,19,8,25,10,16,22,9
"Bger_15840",33,24,1,7,8,20,17,17,43,27,110,101,40,25,10,13,7,18,7,6,16,23
"Bger_15839",0,0,0,2,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
"Bger_15838",1,0,0,1,2,6,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0
"Bger_15845",60,24,2,7,15,13,125,113,85,22,191,81,39,31,28,39,7,42,22,24,18,12
"Bger_18297",52,65,12,39,14,35,81,91,60,63,92,97,48,38,41,46,19,23,23,22,18,25
"Bger_18300",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bger_18298",532,646,185,582,25,91,152,168,348,267,810,857,200,190,270,305,131,340,226,189,316,264
"Bger_18301",101,142,87,174,32,113,49,122,22,36,136,78,56,48,47,38,28,22,42,32,20,24
